Product Name,Temperature L1,Temperature L2,Size,Ounce,Category,product_name_in_nutrition,aaron_sheet_name
Peach Oolong Tea,Ice,Regular,Large,22 oz,Tea,Peach Brewed Iced Tea,22 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,Less,Small,12 oz,Tea,Peach Brewed Iced Tea,16 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,Less,Regular,16 oz,Tea,Peach Brewed Iced Tea,16 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,Less,Large,22 oz,Tea,Peach Brewed Iced Tea,22 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,No,Small,12 oz,Tea,Peach Brewed Iced Tea,16 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,No,Regular,16 oz,Tea,Peach Brewed Iced Tea,16 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,No,Large,22 oz,Tea,Peach Brewed Iced Tea,22 oz Peach Brewed Iced Tea
Roasted Black Tea,Hot,Hot,Small,12 oz,Tea,Roasted Black Extracted Hot Tea,16 oz Roasted Black Extracted Hot Tea
Roasted Black Tea,Hot,Hot,Regular,16 oz,Tea,Roasted Black Extracted Hot Tea,16 oz Roasted Black Extracted Hot Tea
Roasted Black Tea,Hot,Hot,Large,22 oz,Tea,Roasted Black Extracted Hot Tea,22 oz Roasted Black Extracted Hot Tea
Roasted Black Tea,Ice,Regular,Small,12 oz,Tea,Roasted Black Extracted Iced Tea,16 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,Regular,Regular,16 oz,Tea,Roasted Black Extracted Iced Tea,16 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,Regular,Large,22 oz,Tea,Roasted Black Extracted Iced Tea,22 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,Less,Small,12 oz,Tea,Roasted Black Extracted Iced Tea,16 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,Less,Regular,16 oz,Tea,Roasted Black Extracted Iced Tea,16 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,Less,Large,22 oz,Tea,Roasted Black Extracted Iced Tea,22 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,No,Small,12 oz,Tea,Roasted Black Extracted Iced Tea,16 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,No,Regular,16 oz,Tea,Roasted Black Extracted Iced Tea,16 oz Roasted Black Extracted Iced Tea
Roasted Black Tea,Ice,No,Large,22 oz,Tea,Roasted Black Extracted Iced Tea,22 oz Roasted Black Extracted Iced Tea
Ceylon Black Tea,Hot,Hot,Small,12 oz,Tea,Ceylon Extracted Hot Tea,16 oz Ceylon Extracted Hot Tea
Ceylon Black Tea,Hot,Hot,Regular,16 oz,Tea,Ceylon Extracted Hot Tea,16 oz Ceylon Extracted Hot Tea
Ceylon Black Tea,Hot,Hot,Large,22 oz,Tea,Ceylon Extracted Hot Tea,22 oz Ceylon Extracted Hot Tea
Ceylon Black Tea,Ice,Regular,Small,12 oz,Tea,Ceylon Extracted Iced Tea,16 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,Regular,Regular,16 oz,Tea,Ceylon Extracted Iced Tea,16 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,Regular,Large,22 oz,Tea,Ceylon Extracted Iced Tea,22 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,Less,Small,12 oz,Tea,Ceylon Extracted Iced Tea,16 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,Less,Regular,16 oz,Tea,Ceylon Extracted Iced Tea,16 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,Less,Large,22 oz,Tea,Ceylon Extracted Iced Tea,22 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,No,Small,12 oz,Tea,Ceylon Extracted Iced Tea,16 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,No,Regular,16 oz,Tea,Ceylon Extracted Iced Tea,16 oz Ceylon Extracted Iced Tea
Ceylon Black Tea,Ice,No,Large,22 oz,Tea,Ceylon Extracted Iced Tea,22 oz Ceylon Extracted Iced Tea
Roasted Oolong Tea,Hot,Hot,Small,12 oz,Tea,Roasted Oolong Extracted Hot Tea,16 oz Roasted Oolong Extracted Hot Tea
Roasted Oolong Tea,Hot,Hot,Regular,16 oz,Tea,Roasted Oolong Extracted Hot Tea,16 oz Roasted Oolong Extracted Hot Tea
