Product Name,Temperature L1,Temperature L2,Size,Ounce,Category
Jasmine Green Lemon Tea,Hot,Hot,Large,22 oz,Other teas
Jasmine Green Lemon Tea,Ice,Regular,Small,12 oz,Other teas
Jasmine Green Lemon Tea,Ice,Regular,Regular,16 oz,Other teas
Jasmine Green Lemon Tea,Ice,Regular,Large,22 oz,Other teas
Jasmine Green Lemon Tea,Ice,Less,Small,12 oz,Other teas
Jasmine Green Lemon Tea,Ice,Less,Regular,16 oz,Other teas
Jasmine Green Lemon Tea,Ice,Less,Large,22 oz,Other teas
Jasmine Green Lemon Tea,Ice,No,Small,12 oz,Other teas
Jasmine Green Lemon Tea,Ice,No,Regular,16 oz,Other teas
Jasmine Green Lemon Tea,Ice,No,Large,22 oz,Other teas
Peach Oolong LemonTea,Hot,Hot,Small,12 oz,Other teas
Peach Oolong LemonTea,Hot,Hot,Regular,16 oz,Other teas
Peach Oolong LemonTea,Hot,Hot,Large,22 oz,Other teas
Peach Oolong LemonTea,Ice,Regular,Small,12 oz,Other teas
Peach Oolong LemonTea,Ice,Regular,Regular,16 oz,Other teas
Peach Oolong LemonTea,Ice,Regular,Large,22 oz,Other teas
Peach Oolong LemonTea,Ice,Less,Small,12 oz,Other teas
Peach Oolong LemonTea,Ice,Less,Regular,16 oz,Other teas
Peach Oolong LemonTea,Ice,Less,Large,22 oz,Other teas
Peach Oolong LemonTea,Ice,No,Small,12 oz,Other teas
Peach Oolong LemonTea,Ice,No,Regular,16 oz,Other teas
Peach Oolong LemonTea,Ice,No,Large,22 oz,Other teas
Roasted Black Lemon Tea,Hot,Hot,Small,12 oz,Other teas
Roasted Black Lemon Tea,Hot,Hot,Regular,16 oz,Other teas
Roasted Black Lemon Tea,Hot,Hot,Large,22 oz,Other teas
Roasted Black Lemon Tea,Ice,Regular,Small,12 oz,Other teas
Roasted Black Lemon Tea,Ice,Regular,Regular,16 oz,Other teas
Roasted Black Lemon Tea,Ice,Regular,Large,22 oz,Other teas
Roasted Black Lemon Tea,Ice,Less,Small,12 oz,Other teas
Roasted Black Lemon Tea,Ice,Less,Regular,16 oz,Other teas
Roasted Black Lemon Tea,Ice,Less,Large,22 oz,Other teas
Roasted Black Lemon Tea,Ice,No,Small,12 oz,Other teas
Roasted Black Lemon Tea,Ice,No,Regular,16 oz,Other teas
Roasted Black Lemon Tea,Ice,No,Large,22 oz,Other teas
Caramel Tea Frappe,Hot,Hot,Small,12 oz,Other teas
Caramel Tea Frappe,Hot,Hot,Regular,16 oz,Other teas
Caramel Tea Frappe,Hot,Hot,Large,22 oz,Other teas
Caramel Tea Frappe,Ice,Regular,Small,12 oz,Other teas
Caramel Tea Frappe,Ice,Regular,Regular,16 oz,Other teas
Caramel Tea Frappe,Ice,Regular,Large,22 oz,Other teas
Caramel Tea Frappe,Ice,Less,Small,12 oz,Other teas
Caramel Tea Frappe,Ice,Less,Regular,16 oz,Other teas
Caramel Tea Frappe,Ice,Less,Large,22 oz,Other teas
Caramel Tea Frappe,Ice,No,Small,12 oz,Other teas
Caramel Tea Frappe,Ice,No,Regular,16 oz,Other teas
Caramel Tea Frappe,Ice,No,Large,22 oz,Other teas
Roasted Oolong Lemon Tea,Hot,Hot,Small,12 oz,Other teas
Roasted Oolong Lemon Tea,Hot,Hot,Regular,16 oz,Other teas
Roasted Oolong Lemon Tea,Hot,Hot,Large,22 oz,Other teas
Roasted Oolong Lemon Tea,Ice,Regular,Small,12 oz,Other teas
Roasted Oolong Lemon Tea,Ice,Regular,Regular,16 oz,Other teas
