identifier,Category,Temperature L1,Product,Size,Temperature L2,Sugar,Milk,calories,caffeine,protein,sodium
16 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Regular,No,No,Oat Milk,190.0,108.0,2.0,100.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Extra,Standard,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Extra,Oat Milk,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Regular,Standard,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Regular,Oat Milk,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Less,Standard,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Less,Oat Milk,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Half,Standard,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Half,Oat Milk,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Slight,Standard,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,Slight,Oat Milk,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,No,Standard,300.0,199.0,4.0,150.0
22 oz Hot Tea Latte (Brewed Jasmine),Tea Latte,Hot,Jasmine Green Tea (Bo Ya) Latte,Large,Hot,No,Oat Milk,300.0,199.0,4.0,150.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Extra,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Extra,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Regular,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Regular,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Less,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Less,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Half,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Half,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Slight,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,Slight,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,No,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Regular,No,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Extra,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Extra,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Regular,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Regular,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Less,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Less,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Half,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Half,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Slight,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,Slight,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,No,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,Less,No,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Extra,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Extra,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Regular,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Regular,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Less,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Less,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Half,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Half,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Slight,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,Slight,Oat Milk,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,No,Standard,260.0,139.0,3.0,135.0
22 oz Iced Tea Latte (brewed Jasmine),Tea Latte,Ice,Jasmine Green Tea (Bo Ya) Latte,Large,No,No,Oat Milk,260.0,139.0,3.0,135.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Extra,Standard,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Extra,Oat Milk,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Regular,Standard,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Regular,Oat Milk,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Less,Standard,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Less,Oat Milk,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Half,Standard,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Half,Oat Milk,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Slight,Standard,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,Slight,Oat Milk,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,No,Standard,160.0,118.0,2.0,75.0
12 oz Hot Tea Latte (Brewed Peach),Tea Latte,Hot,Peach Oolong Tea Latte,Small,Hot,No,Oat Milk,160.0,118.0,2.0,75.0
12 oz Iced Tea Latte (brewed Peach Oolong),Tea Latte,Ice,Peach Oolong Tea Latte,Small,Regular,Extra,Standard,130.0,78.0,2.0,65.0
12 oz Iced Tea Latte (brewed Peach Oolong),Tea Latte,Ice,Peach Oolong Tea Latte,Small,Regular,Extra,Oat Milk,130.0,78.0,2.0,65.0
12 oz Iced Tea Latte (brewed Peach Oolong),Tea Latte,Ice,Peach Oolong Tea Latte,Small,Regular,Regular,Standard,130.0,78.0,2.0,65.0
